"filename", "language", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "XML", "JSON with Comments", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/StayDetails.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 1, 3, 34
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/StickyPriceBar.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 1, 1, 23
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/amenities.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 2, 9, 92
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/counties.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 13, 30, 249
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/fearturedListingCard.tsx", "TypeScript JSX", 0, 0, 0, 283, 0, 0, 0, 0, 9, 38, 330
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/footer.tsx", "TypeScript JSX", 0, 0, 0, 265, 0, 0, 0, 0, 9, 22, 296
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/homeData.ts", "TypeScript", 0, 902, 0, 0, 0, 0, 0, 0, 17, 180, 1099
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/image-uploader.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 2, 9, 91
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/listing-form.tsx", "TypeScript JSX", 0, 0, 0, 207, 0, 0, 0, 0, 1, 11, 219
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 1, 4, 52
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Activefilterchips.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Emptystate.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Feartured/FeaturedListings.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 6, 6, 52
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Filtersidebar.tsx", "TypeScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 6, 12, 196
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/HorizontalListingCarousel.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/ListingCardSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Listingcard.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 2, 6, 90
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Mombasa/Listings.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Nairobi/Listings.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Pageheading.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Pagination.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 5, 64
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Resultstoolbar.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 6, 62
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/minimalListingCard.tsx", "TypeScript JSX", 0, 0, 0, 289, 0, 0, 0, 0, 16, 43, 348
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/navigationBar.tsx", "TypeScript JSX", 0, 0, 0, 329, 0, 0, 0, 0, 5, 31, 365
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 2, 3, 19
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/next.config.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/package-lock.json", "JSON", 0, 0, 6920, 0, 0, 0, 0, 0, 0, 1, 6921
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
